AMT;TID;BEBO;INDHOLD
Hjørring;2012;Occupied dwellings;30471
Hjørring;2013;Occupied dwellings;30522
Hjørring;2014;Occupied dwellings;30527
Hjørring;2015;Occupied dwellings;30735
Jammerbugt;2010;Occupied dwellings;16964
Jammerbugt;2011;Occupied dwellings;16997
Jammerbugt;2012;Occupied dwellings;17114
Jammerbugt;2013;Occupied dwellings;17172
Jammerbugt;2014;Occupied dwellings;17181
Jammerbugt;2015;Occupied dwellings;17262
Læsø;2010;Occupied dwellings;1026
Læsø;2011;Occupied dwellings;1024
Læsø;2012;Occupied dwellings;1019
Læsø;2013;Occupied dwellings;998
Læsø;2014;Occupied dwellings;991
Læsø;2015;Occupied dwellings;985
Mariagerfjord;2010;Occupied dwellings;18982
Mariagerfjord;2011;Occupied dwellings;19100
Mariagerfjord;2012;Occupied dwellings;19184
Mariagerfjord;2013;Occupied dwellings;19180
Mariagerfjord;2014;Occupied dwellings;19223
Mariagerfjord;2015;Occupied dwellings;19365
Morsø;2010;Occupied dwellings;10123
Morsø;2011;Occupied dwellings;10120
Morsø;2012;Occupied dwellings;10089
Morsø;2013;Occupied dwellings;10025
Morsø;2014;Occupied dwellings;9979
Morsø;2015;Occupied dwellings;10011
Rebild;2010;Occupied dwellings;12012
Rebild;2011;Occupied dwellings;12094
Rebild;2012;Occupied dwellings;12156
Rebild;2013;Occupied dwellings;12179
Rebild;2014;Occupied dwellings;12229
Rebild;2015;Occupied dwellings;12278
Thisted;2010;Occupied dwellings;20456
Thisted;2011;Occupied dwellings;20474
Thisted;2012;Occupied dwellings;20437
Thisted;2013;Occupied dwellings;20424
Thisted;2014;Occupied dwellings;20447
Thisted;2015;Occupied dwellings;20465
Vesthimmerlands;2010;Occupied dwellings;17086
Vesthimmerlands;2011;Occupied dwellings;17179
Vesthimmerlands;2012;Occupied dwellings;17141
Vesthimmerlands;2013;Occupied dwellings;17239
Vesthimmerlands;2014;Occupied dwellings;17250
Vesthimmerlands;2015;Occupied dwellings;17262
Aalborg;2010;Occupied dwellings;96424
Aalborg;2011;Occupied dwellings;97206
Aalborg;2012;Occupied dwellings;98057
Aalborg;2013;Occupied dwellings;99310
Aalborg;2014;Occupied dwellings;100935
Aalborg;2015;Occupied dwellings;102196
